county,reporting_date,crisis,rfq_mean,r3q_mean,r1q_mean,staple_price_kes,staple_price_usd,has_price_data,price_mom_change,prev_crisis,crisis_streak,drought_streak,is_asal,season_long_rains,season_short_rains
Taita-Taveta,2025-10-01,0,91.04764999999999,86.8698,92.68441333333334,,,0,,0.0,0,65,1,0,0
Taita-Taveta,2026-02-01,0,45.61617633333333,47.13985433333334,65.96156333333333,,,0,,0.0,0,66,1,0,0
Tana River,2011-01-01,0,60.309183499999996,64.314059,57.16969866666667,,,0,,,0,124,1,0,1
Tana River,2011-04-01,0,61.22504916666667,60.62779533333333,61.577104166666665,,,0,,0.0,0,125,1,1,0
Tana River,2011-07-01,1,80.15502916666667,70.507699,75.0434185,,,0,,0.0,0,126,1,0,0
Tana River,2011-10-01,1,121.67489333333333,88.91053833333335,107.50200749999999,,,0,,1.0,52,127,1,0,0
Tana River,2012-01-01,1,71.9122205,114.69486816666667,88.503534,,,0,,1.0,53,0,1,0,1
Tana River,2012-04-01,1,50.52043816666667,51.84650416666667,64.36959283333333,,,0,,1.0,54,65,1,1,0
Tana River,2012-07-01,0,77.73575983333333,60.195728333333335,76.57633349999999,,,0,,1.0,55,66,1,0,0
Tana River,2012-10-01,1,86.53425083333333,81.65298583333333,87.62194166666666,,,0,,0.0,0,67,1,0,0
Tana River,2013-01-01,0,123.03016500000001,100.00481933333333,83.160035,,,0,,1.0,30,0,1,0,1
Tana River,2013-04-01,0,164.04582083333332,136.6300183333333,149.29887666666667,,,0,,0.0,0,0,1,1,0
Tana River,2013-07-01,0,81.76680566666667,106.05245166666667,74.55517916666666,,,0,,0.0,0,0,1,0,0
Tana River,2013-10-01,0,120.60051733333334,95.02493683333334,107.585449,,,0,,0.0,0,73,1,0,0
Tana River,2014-01-01,0,90.331207,89.09395,94.96980483333334,,,0,,0.0,0,74,1,0,1
Tana River,2014-04-01,0,146.10720166666667,96.91965416666666,129.83276666666669,,,0,,0.0,0,75,1,1,0
Tana River,2014-07-01,0,103.19697816666667,113.20978133333334,108.55790233333333,,,0,,0.0,0,0,1,0,0
Tana River,2014-10-01,0,101.90430916666666,100.60117766666667,106.53331666666666,,,0,,0.0,0,0,1,0,0
Tana River,2015-01-01,0,96.79430166666667,102.68013816666667,102.84441349999999,,,0,,0.0,0,0,1,0,1
Tana River,2015-04-01,0,94.63205549999999,64.87214516666667,72.63446950000001,31.0,0.34,1,,0.0,0,62,1,1,0
Tana River,2015-07-01,0,88.747525,125.87492833333333,86.47102333333333,36.0,0.37,1,0.16129032258064524,0.0,0,0,1,0,0
Tana River,2015-10-01,0,89.44355166666666,104.99977100000001,97.01261333333333,39.25,0.37,1,0.09027777777777768,0.0,0,0,1,0,0
Tana River,2016-02-01,0,116.65599250000001,130.22256666666667,106.12206833333333,39.17,0.38,1,-0.0020382165605095093,0.0,0,0,1,0,0
Tana River,2016-06-01,0,74.90875783333333,72.01941133333334,82.90379583333333,41.67,0.41,1,0.06382435537401077,0.0,0,57,1,1,0
Tana River,2016-10-01,1,88.43495949999999,92.49278566666668,95.98443466666667,54.0,0.53,1,0.29589632829373635,0.0,0,58,1,0,0
Tana River,2017-02-01,1,87.06511483333333,68.96725833333333,73.0127765,53.2,0.51,1,-0.014814814814814725,1.0,28,59,1,0,0
Tana River,2017-06-01,1,116.50085000000001,83.798105,115.969365,60.0,0.58,1,0.1278195488721805,1.0,29,60,1,1,0
Tana River,2017-10-01,1,114.9288475,109.62636133333332,123.264543,64.0,0.62,1,0.06666666666666665,1.0,30,0,1,0,0
Tana River,2018-02-01,1,70.15259350000001,71.23219866666666,44.18469083333333,55.0,0.53,1,-0.140625,1.0,31,80,1,0,0
Tana River,2018-06-01,1,129.357679,204.470805,167.471125,50.0,0.5,1,-0.09090909090909094,1.0,32,0,1,1,0
Tana River,2018-12-01,0,51.65891266666666,89.889612,73.63423399999999,39.2,0.38,1,-0.21599999999999997,1.0,33,76,1,0,1
Tana River,2019-02-01,0,109.98963916666666,105.6364825,110.0064375,63.0,0.62,1,0.607142857142857,0.0,0,0,1,0,0
Tana River,2019-06-01,1,120.64199666666667,62.176626,104.75889749999999,50.0,0.5,1,-0.2063492063492064,0.0,0,88,1,1,0
Tana River,2019-10-01,1,137.74844583333334,145.67306166666665,148.60933166666666,52.2,0.5,1,0.04400000000000004,1.0,23,0,1,0,0
Tana River,2020-02-01,1,245.66148666666666,206.14205666666666,274.75102499999997,,,0,,1.0,24,0,1,0,0
Tana River,2020-06-01,1,76.367035,152.58867333333333,134.87101166666665,66.0,0.62,1,,1.0,25,0,1,1,0
Tana River,2020-10-01,0,108.38145266666668,141.4578775,108.2939975,55.0,0.51,1,-0.16666666666666663,1.0,26,0,1,0,0
Tana River,2021-02-01,1,89.85337399999999,84.49286766666667,89.111269,,,0,,0.0,0,74,1,0,0
Tana River,2021-06-01,1,67.20812266666667,58.379121166666664,68.18523616666666,,,0,,1.0,33,75,1,1,0
Tana River,2021-10-01,1,89.72017699999999,105.05607166666668,94.17997933333334,,,0,,1.0,34,0,1,0,0
Tana River,2022-02-01,1,83.09725333333334,107.67125666666668,212.12774416666664,,,0,,1.0,35,0,1,0,0
Tana River,2022-06-01,1,81.93412766666667,63.074854666666674,94.0591715,,,0,,1.0,36,80,1,1,0
Tana River,2022-10-01,1,89.817095,108.30439866666666,89.06843433333334,,,0,,1.0,37,0,1,0,0
Tana River,2023-02-01,1,84.19676666666668,70.26605416666666,62.72716833333334,,,0,,1.0,38,67,1,0,0
Tana River,2023-06-01,1,65.00354766666668,148.20360166666666,166.68573966666665,,,0,,1.0,39,0,1,1,0
Tana River,2023-10-01,1,98.59616183333333,122.19470666666666,107.86007000000001,,,0,,1.0,40,0,1,0,0
Tana River,2024-02-01,1,99.18443666666667,204.753145,158.20968833333333,,,0,,1.0,41,0,1,0,0
Tana River,2024-06-01,1,80.78209866666667,110.08974833333333,97.95523533333333,,,0,,1.0,42,0,1,1,0
Tana River,2024-10-01,1,80.22579,88.57455766666668,87.457274,152.28125,1.183125,1,,1.0,43,47,1,0,0
Tana River,2025-10-01,1,93.66143,99.64312983333333,100.0472835,180.0,1.39,1,0.1820233942130105,1.0,44,48,1,0,0
Tana River,2026-02-01,1,66.33941666666666,52.640230333333335,64.361625,,,0,,1.0,45,49,1,0,0
Tharaka-Nithi,2011-01-01,0,38.7896845,64.57842983333333,40.536796,,,0,,,0,128,1,0,1
Tharaka-Nithi,2011-04-01,0,65.0298885,56.743609666666664,71.66247533333333,,,0,,0.0,0,129,1,1,0
Tharaka-Nithi,2011-07-01,1,106.79582733333332,83.8779675,90.14417316666668,,,0,,0.0,0,130,1,0,0
Tharaka-Nithi,2011-10-01,1,117.35369150000001,113.74126533333333,115.58308266666667,,,0,,1.0,56,0,1,0,0
Tharaka-Nithi,2012-01-01,0,88.066651,143.27729833333333,134.21459833333333,,,0,,1.0,57,0,1,0,1
Tharaka-Nithi,2012-04-01,0,34.777184999999996,36.0484155,43.678504333333336,,,0,,0.0,0,68,1,1,0
Tharaka-Nithi,2012-07-01,0,110.77702566666666,109.53048083333333,103.31008316666667,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2012-10-01,0,94.38105266666666,101.79218333333334,98.00099933333333,,,0,,0.0,0,0,1,0,0
Tharaka-Nithi,2013-01-01,0,136.04269083333335,102.44700766666666,88.76648066666667,,,0,,0.0,0,0,1,0,1
